The Social Network,"The Social Network is a 2010 American biographical drama film directed by David Fincher and written by Aaron Sorkin. Adapted from Ben Mezrich's 2009 book The Accidental Billionaires, it portrays the founding of social networking website Facebook and the resulting lawsuits. It stars Jesse Eisenberg as founder Mark Zuckerberg, along with Andrew Garfield as Eduardo Saverin, Justin Timberlake as Sean Parker, Armie Hammer as Cameron and Tyler Winklevoss, and Max Minghella as Divya Narendra. Neither Zuckerberg nor any other Facebook staff were involved with the project, although Saverin was a consultant for Mezrich's book.Production of the film began in 2009, when Eisenberg, Timberlake, and Garfield were all announced to star. Principal photography began that same year in October in Cambridge, Massachusetts, and lasted until November. Additional scenes were shot in California, in the cities of Los Angeles and Pasadena, as a portion of the film was set in Silicon Valley. In 2010, it was announced that Trent Reznor and Atticus Ross would create the film's score, which released on September 28, 2010.The film released in the United States by Columbia Pictures on October 1, 2010. A major critical and commercial success, the film grossed $224 million on a $40 million budget and was widely acclaimed by critics. It was named one of the best films of the year by 78 critics, and named the best by 22 critics, the most of any film that year. It was also chosen by the National Board of Review as the best film of 2010. At the 83rd Academy Awards, it received eight nominations, including for Best Picture, Best Director, and Best Actor for Eisenberg, and won three: Best Adapted Screenplay, Best Original Score, and Best Film Editing. It also received awards for Best Motion Picture – Drama, Best Director, Best Screenplay, and Best Original Score at the 68th Golden Globe Awards.The Social Network has maintained a strong reputation since its initial release, and is commonly cited by critics as one of the best films of its respective decade and century. The Writers Guild of America ranked Sorkin's screenplay the third greatest of the 21st century. While no official sequel has been announced, Sorkin has publicly expressed interest and willingness to write a screenplay for one should Fincher return to direct."
Inception,None
Alice in Wonderland,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre. One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre. The book has never been out of print and has been translated into 174 languages. Its legacy covers adaptations for screen, radio, art, ballet, opera, musicals, theme parks, board games and video games. Carroll published a sequel in 1871 entitled Through the Looking-Glass and a shortened version for young children, The Nursery ""Alice"", in 1890."
Shutter Island,"Shutter Island is a 2010 American neo-noir psychological thriller film directed by Martin Scorsese and written by Laeta Kalogridis, based on Dennis Lehane's 2003 novel of the same name. Leonardo DiCaprio stars as Deputy U.S. Marshal Edward ""Teddy"" Daniels, who is investigating a psychiatric facility on Shutter Island after one of the patients goes missing. Mark Ruffalo plays his partner and fellow deputy marshal, Ben Kingsley is the facility's lead psychiatrist, Max von Sydow is a German doctor, and Michelle Williams is Daniels' wife. Released on February 19, 2010, the film received mostly positive reviews from critics, was chosen by National Board of Review as one of the top ten films of 2010, and grossed over $294 million worldwide.The film was noted for its soundtrack, which prominently used classical music, such as that of Gustav Mahler, as well as modern classical music by composers such as Krzysztof Penderecki, György Ligeti, John Cage, Ingram Marshall, and Max Richter."
How to Train Your Dragon,"How to Train Your Dragon (HTTYD) is an American media franchise from DreamWorks Animation and loosely based on the eponymous series of children's books by British author Cressida Cowell. It consists of three feature films: How to Train Your Dragon (2010), How to Train Your Dragon 2 (2014) and How to Train Your Dragon: The Hidden World (2019). The franchise also contains five short films: Legend of the Boneknapper Dragon (2010), Book of Dragons (2010), Gift of the Night Fury (2011), Dawn of the Dragon Racers (2014) and How to Train Your Dragon: Homecoming (2019).A television series following the events of the first film, DreamWorks Dragons, began airing on Cartoon Network in September 2012. The first and second seasons were titled Dragons: Riders of Berk and Dragons: Defenders of Berk respectively. After the two seasons on Cartoon Network, the series was given the new title Dragons: Race to the Edge. The characters are older and it served as a prequel to the second film, running from June 2015 to February 2018. A third series, titled Dragons: Rescue Riders, began airing on Netflix in 2019 and features a completely different cast and locale than the original series of films and TV shows, but is set in the same universe. A fourth series, Dragons: The Nine Realms, began streaming on Hulu and Peacock in December 2021, with Rescue Riders transferring to Peacock beginning with the third season under the Heroes of the Sky subtitle. Unlike past entries in the franchise, The Nine Realms is set in the 21st century, specifically 1,300 years after the events of The Hidden World. Both Rescue Riders and The Nine Realms are geared towards a younger preschool audience.The franchise primarily follows the adventures of a young Viking named Hiccup Horrendous Haddock III (voiced by Jay Baruchel), son of Stoick the Vast, leader of the Viking island of Berk. Although initially dismissed as a clumsy and underweight misfit, he soon becomes renowned as a courageous expert in dragons, alongside Toothless, a member of the rare Night Fury breed as his flying mount and his closest companion. Together with his friends, he manages the village's allied dragon population in defense of his home as leader of a flying corps of dragon riders. Upon becoming leaders of their kind, Hiccup and Toothless are forced to make choices that will truly ensure peace between people and dragons. Dean DeBlois, the director of the trilogy, described its story as ""Hiccup's coming of age,"" taking a span of five years between the first and second film, and a year between the second and third film.The film series has been highly acclaimed, with each film nominated for the Academy Award for Best Animated Feature, in addition to the first film's nomination for the Academy Award for Best Original Score."
Toy Story 3,"Toy Story is a 1995 American computer-animated comedy film produced by Pixar Animation Studios and released by Walt Disney Pictures. The first installment in the  Toy Story franchise, it was the first entirely computer-animated feature film, as well as the first feature film from Pixar. The film was directed by John Lasseter (in his feature directorial debut) and written by Joss Whedon, Andrew Stanton, Joel Cohen, and Alec Sokolow from a story by Lasseter, Stanton, Pete Docter, and Joe Ranft. The film features music by Randy Newman, was produced by Bonnie Arnold and Ralph Guggenheim, and was executive-produced by Steve Jobs and Edwin Catmull. The film features the voices of Tom Hanks, Tim Allen, Don Rickles, Wallace Shawn, John Ratzenberger, Jim Varney, Annie Potts, R. Lee Ermey, John Morris, Laurie Metcalf, and Erik von Detten. Taking place in a world where toys come to life when humans are not present, the plot focuses on the relationship between an old-fashioned pull-string cowboy doll named Woody and a modern astronaut action figure, Buzz Lightyear, as they evolve from rivals competing for the affections of their owner, Andy Davis, to friends who work together to be reunited with Andy after being separated from him.Following the success of their 1988 short film Tin Toy, Pixar was approached by Disney to produce a computer-animated feature film told from a small toy's perspective. Lasseter, Stanton, and Docter wrote early story treatments, which were rejected by Disney, who wanted the film's tone to be ""edgier"". After several disastrous story reels, production was halted and the script was rewritten to better reflect the tone and theme Pixar desired: ""toys deeply want children to play with them, and ... this desire drives their hopes, fears, and actions"". The studio, then consisting of a relatively small number of employees, produced the film under only minor financial constraints.Toy Story premiered at the El Capitan Theatre in Los Angeles, California, on November 19, 1995, and was released in theaters in North America on November 22, 1995. It was the highest-grossing film during its opening weekend, eventually grossing over $373 million worldwide, making it the second highest-grossing film of 1995. The film received critical acclaim, and holds a rare 100% approval rating on Rotten Tomatoes. It was praised for the technical innovation of the 3D animation, wit and thematic sophistication of the screenplay, musical score, and vocal performances (particularly Hanks and Allen); it is considered by many to be one of the best animated films ever made. The film received three Academy Award nominations (Best Original Screenplay (the first animated film to be nominated for this award), Best Original Song for ""You've Got a Friend in Me"", and Best Original Score) as well as winning a Special Achievement Academy Award. Deemed ""culturally, historically, or aesthetically significant"" by the United States Library of Congress, Toy Story was selected for preservation in the National Film Registry in 2005. The success of Toy Story launched a multimedia franchise and a series of three sequels, starting with Toy Story 2 (1999)."
Avatar,"Avatar: The Last Airbender (often abbreviated as ATLA), also known as Avatar: The Legend of Aang in some regions, is an American animated television series produced by Nickelodeon Animation Studios. It was co-created by Michael Dante DiMartino and Bryan Konietzko, with Aaron Ehasz serving as head writer. It aired on Nickelodeon for three seasons, from February 2005 to July 2008.Avatar is set in an Asiatic-inspired world in which certain people can telekinetically manipulate one of the four classical elements—water, earth, fire, or air—through practices known as ""bending"", inspired by Chinese martial arts. The only individual who can bend all four elements, the ""Avatar"", is responsible for maintaining balance among the world's four nations, and serves as the bridge between the physical world and the spirit world. The series is presented in a style that combines anime with United States cartoons, and relies on the imagery of mainly East Asian culture, with some South Asian, New World, and Inuit and Sireniki influences.The series is centered around the journey of twelve-year-old Aang, the current Avatar and last survivor of his nation, the Air Nomads, along with his friends Katara, Sokka, and later Toph, as they strive to end the Fire Nation's war against the other nations of the world. It also follows the story of Zuko—the exiled prince of the Fire Nation, seeking to restore his lost honor by capturing Aang, accompanied by his wise uncle Iroh—and later, his ambitious sister Azula.Avatar: The Last Airbender was a ratings success and received critical acclaim for its characters, cultural references, art direction, soundtrack, humor, and themes. These include concepts rarely touched on in youth entertainment, such as war, genocide, imperialism, totalitarianism, indoctrination and free choice. The show is regarded by several critics as one of the greatest animated television series of all time. It won five Annie Awards, a Genesis Award, a Primetime Emmy Award, a Kids' Choice Award, and a Peabody Award.The extended Avatar franchise includes an ongoing comics series, a prequel novel series, an animated sequel series, and a live-action film, as well as an upcoming live-action remake series produced for Netflix. The complete series was released on Blu-ray in June 2018 in honor of the tenth anniversary of its finale, and was made available to stream on Netflix in the United States and Canada in May 2020, on Paramount+ in June 2020, and on Amazon Prime Video in January 2021."
Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince is a fantasy novel written by British author J.K. Rowling and the sixth and penultimate novel in the Harry Potter series. Set during Harry Potter's sixth year at Hogwarts, the novel explores the past of the boy wizard's nemesis, Lord Voldemort, and Harry's preparations for the final battle against Voldemort alongside his headmaster and mentor Albus Dumbledore.The book was published in the United Kingdom by Bloomsbury and in the United States by Scholastic on 16 July 2005, as well as in several other countries. It sold nine million copies in the first 24 hours after its release, a record that was eventually broken by its sequel, Harry Potter and the Deathly Hallows. There were many controversies before and after it was published, including the right to read copies delivered before the release date in Canada. Reception to the novel was generally positive, and it won several awards and honours, including the 2006 British Book of the Year award.Reviewers noted that the book took on a darker tone than its predecessors, though it did contain some humour. Some considered the main themes to be love, death, trust, and redemption. The considerable character development of Harry and many other teenage characters also drew attention."
Ice Age: Dawn of the Dinosaurs,"Ice Age: Dawn of the Dinosaurs is a 2009 American computer-animated adventure comedy film produced by Blue Sky Studios and distributed by 20th Century Fox. It is the sequel to Ice Age: The Meltdown (2006) and the third installment in the Ice Age film series. It was directed by Carlos Saldanha. Ray Romano, John Leguizamo, Denis Leary, and Chris Wedge reprise their roles from the first two films and Seann William Scott, Josh Peck, and Queen Latifah reprise their roles from The Meltdown, with Simon Pegg joining them in the role of a weasel named Buck. The story has Sid the Sloth being taken by a female Tyrannosaurus after stealing her eggs, leading the rest of the herd to rescue him in a tropical lost world inhabited by dinosaurs beneath the ice.The film was released on July 1, 2009, becoming the first Ice Age film and the first 20th Century Fox film to be released in 3D. It received mixed reviews from critics, and has grossed $886.6 million worldwide, making it the third-highest-grossing film of 2009, the highest-grossing animated film of 2009, the highest-grossing Ice Age film and the highest-grossing film from Blue Sky Studios. Two sequels, Ice Age: Continental Drift and Ice Age: Collision Course, were released in 2012 and 2016, respectively."
Transformers: Revenge of the Fallen,"Transformers: Revenge of the Fallen is a 2009 American science fiction action film directed by Michael Bay and is based on the Transformers toy line. The film is the sequel to 2007's Transformers, as well as the second installment in the live-action Transformers film series. Taking place two years after the first film, the story revolves around Sam Witwicky (Shia LaBeouf), who is caught once again in the war between the Autobots, led by Optimus Prime (Peter Cullen) and the Decepticons, led by Megatron (Hugo Weaving). Sam begins having strange visions of Cybertronian symbols, and is being hunted by the Decepticons under the orders of an ancient Decepticon named The Fallen, who seeks to get revenge on Earth by finding and activating a machine that would provide the Decepticons with an energon source, destroying the Sun and all life on Earth in the process. Returning Transformers include Optimus Prime, Bumblebee, Ironhide, Ratchet, Megatron, Starscream, and Scorponok.With deadlines jeopardized by possible strikes by the Directors Guild of America and the Screen Actors Guild, Bay managed to finish the production on time with the help of previsualization and a scriptment by his writers Roberto Orci, Alex Kurtzman, and series newcomer Ehren Kruger. Shooting took place between May and September 2008, with locations in Egypt, Jordan, Pennsylvania, New Jersey, and California, as well as air bases in New Mexico and Arizona. It is the last film in the series to star Megan Fox, and is also the last film in the series to be co-produced by DreamWorks Pictures, leaving Paramount Pictures as the sole distributor of its future sequels.Revenge of the Fallen premiered on June 8, 2009 in Tokyo and was released on June 24, 2009 in the United States. Critical reception was negative, with critics considering it to be inferior to the first film. Critics panned the film's plot, screenplay, crude humor, offensive racial stereotypes, characters, and runtime, but the visual effects, and sound design received praise. The film won three Golden Raspberry Awards at the 30th Golden Raspberry Awards ceremony and became the highest-grossing film to win the Worst Picture award. The film surpassed its predecessor at the box office, grossing a total of $402.1 million in the US and Canada and $434.2 million in other territories, for a total of $836.3 million worldwide, making it the 37th highest-grossing domestic film and fourth-highest of the year worldwide. With over 11 million home media sales in 2009, it was also the top-selling film of the year in the United States. It was followed by Dark of the Moon in 2011."
